Wasserstoff
Helium
Lithium
Beryllium
Boron
Kohlenstoff
Stickstoff
Sauerstoff
Fluor
Neon
Natrium
Magnesium
Aluminium
Silicon
Phosphor
Schwefel
Chlor
Kalium
Argon
Calcium
Scandium
Titanium
Vanadium
Chromium
Manganese
Eisen
Nickel
Cobalt
Kupfer
Zinc
Gallium
Germanium
Arsen
Selen
Brom
Krypton
Rubidium
Strontium
Yttrium
Zirconium
Niobium
Molybdenum
Technetium
Ruthenium
Rhodium
Palladium
Silber
Cadmium
Indium
Zinn
Tellurium
Iod
Xenon
Caesium
Barium
Lutetium
Hafnium
Tantalum
Tungsten 
Rhenium
Osmium
Iridium
Platin
Gold
Quecksilber
Thallium
Blei
Bismuth
Polonium
Astatine
Radon
Francium
Radium
Lawrencium
Rutherfordium
Hunde
Katzen
Hasen
Widder
Eidechsen
Krokodile
Schafe
Tauben
Adler
Nacktmull
Huhn
Enten
Rotkelchen
Spatzen
Kernobst
Hulsenfruchte
Kerne
Schalentiere
Nusse
Schimmelpilz
Roggen
Hornissengift
